import time: self [us] | cumulative | imported package
import time:       367 |        367 |                           calendar
import time:       166 |        166 |                               importlib._abc
import time:        47 |        212 |                             importlib.util
import time:       513 |        725 |                           six
import time:       132 |        132 |                           dateutil._common
import time:        25 |         25 |                             six.moves
import time:       217 |        217 |                             dateutil.tz._common
import time:       199 |        199 |                             dateutil.tz._factories
import time:         7 |          7 |                               six.moves.winreg
import time:       207 |        214 |                             dateutil.tz.win
import time:       569 |       1221 |                           dateutil.tz.tz
import time:       850 |       3294 |                         dateutil.parser._parser
import time:       248 |        248 |                         dateutil.parser.isoparser
import time:       186 |       3728 |                       dateutil.parser
import time:       233 |       3960 |                     matplotlib.category
import time:      1306 |       1306 |                     matplotlib.contour
import time:       381 |        381 |                       dateutil.rrule
import time:       518 |        898 |                     matplotlib.dates
import time:       496 |        496 |                     matplotlib.inset
import time:       228 |        228 |                       matplotlib.container
import time:       632 |        632 |                       matplotlib.legend_handler
import time:       844 |       1702 |                     matplotlib.legend
import time:      1927 |       1927 |                     matplotlib.quiver
import time:        83 |         83 |                       matplotlib._style_helpers
import time:       152 |        235 |                     matplotlib.stackplot
import time:       258 |        258 |                     matplotlib.streamplot
import time:       204 |        204 |                       matplotlib.tri._triangulation
import time:       682 |        682 |                       matplotlib.tri._tricontour
import time:       182 |        182 |                       matplotlib.tri._trifinder
import time:       482 |        482 |                         matplotlib.tri._tritools
import time:       409 |        891 |                       matplotlib.tri._triinterpolate
import time:       553 |        553 |                       matplotlib.tri._tripcolor
import time:       166 |        166 |                       matplotlib.tri._triplot
import time:       175 |        175 |                       matplotlib.tri._trirefine
import time:       169 |       3019 |                     matplotlib.tri
import time:      1030 |       1030 |                     matplotlib.axes._secondary_axes
import time:      6380 |      21206 |                   matplotlib.axes._axes
import time:       100 |      32499 |                 matplotlib.axes
import time:      3940 |       3940 |                 matplotlib.projections.geo
import time:      3002 |       3002 |                 matplotlib.projections.polar
import time:        65 |         65 |                   mpl_toolkits
import time:       169 |        169 |                       mpl_toolkits.mplot3d.proj3d
import time:      4611 |       4780 |                     mpl_toolkits.mplot3d.art3d
import time:      2025 |       2025 |                     mpl_toolkits.mplot3d.axis3d
import time:      3201 |      10005 |                   mpl_toolkits.mplot3d.axes3d
import time:       218 |      10287 |                 mpl_toolkits.mplot3d
import time:       177 |      49903 |               matplotlib.projections
import time:       859 |        859 |               matplotlib.colorbar
import time:      2176 |      53017 |             matplotlib.figure
import time:      3719 |     192977 |           matplotlib.pyplot
import time:       165 |        165 |             mediapipe.tasks.python.components.containers.matrix_c
import time:       339 |        339 |             mediapipe.tasks.python.vision.core.image
import time:       138 |        138 |               mediapipe.tasks.python.vision.core.image_processing_options_c
import time:       310 |        447 |             mediapipe.tasks.python.vision.core.image_processing_options
import time:       282 |        282 |             mediapipe.tasks.python.vision.core.vision_task_running_mode
import time:      1367 |       2598 |           mediapipe.tasks.python.vision.face_landmarker
import time:       482 |     237390 |         mediapipe.tasks.python.vision.drawing_utils
import time:       773 |        773 |         mediapipe.tasks.python.vision.hand_landmarker
import time:       860 |        860 |         mediapipe.tasks.python.vision.pose_landmarker
import time:       149 |     239171 |       mediapipe.tasks.python.vision.drawing_styles
import time:       291 |        291 |       mediapipe.tasks.python.vision.face_detector
import time:        95 |         95 |           mediapipe.tasks.python.vision.gesture_recognizer_result_c
import time:       301 |        395 |         mediapipe.tasks.python.vision.gesture_recognizer_result
import time:       447 |        842 |       mediapipe.tasks.python.vision.gesture_recognizer
import time:       584 |        584 |       mediapipe.tasks.python.vision.holistic_landmarker
import time:       308 |        308 |       mediapipe.tasks.python.vision.image_classifier
import time:       302 |        302 |       mediapipe.tasks.python.vision.image_embedder
import time:       408 |        408 |       mediapipe.tasks.python.vision.image_segmenter
import time:       583 |        583 |       mediapipe.tasks.python.vision.interactive_segmenter
import time:       289 |        289 |       mediapipe.tasks.python.vision.object_detector
import time:       154 |     243061 |     mediapipe.tasks.python.vision
import time:       344 |     413321 |   mediapipe.tasks.python
import time:       252 |     413573 | mediapipe


